id,hour,comment,like,hate,num
0,60,솔직히 다 알지ㅋㅋㅋ 그래도 레알 이적설 뜨는거는 기분 좋다,526,36,28
1,60,찌라시인거 모르는사람있음?ㅋㅋㅋㅋ 레알이적설 나올만큼 성장했다는게 중요한거지 ㅋㅋ,238,54,21
2,60,하 저도 레알마드리드 꼭가고 싶습니다.ㅠㅠ,89,36,12
3,60,베일정도는 정리해야 자리가있지.,66,8,12
4,60,논Eu 랑 이적자금등 이미 현재로 어려운건 알던건데 관심받는게 대단한거지,45,15,8
5,60,zㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 손뽕 어리둥절,45,51,15
6,60,중요한건 레알이 손흥민을 주시했다는거지,37,40,1
7,19,이번 여름 이미 공격진 영입했고 기존 선수 안나가는데 올여름 어려운건 알던거아냐 손흥민도 최근 이사해서 어디던최소 이번여름은 토트넘그대로일거다,30,4,1
8,13,손선수가 아니라고 했는데 이런기사를 쓰는 이유가 뭐냐 레알이랑 연결된다는 기사도 엄청난거지!!!,19,6,3
9,58,교통정리가 안됐는데 어떻게 영입해ㅋㅋ 베일하고 스왑딜 얘기가 잠깐 떠돌았는데 닭집은 베일한테 주급 9업을 줄수있는팀이 아니야,18,6,2
10,60,손뽕들 사이에선 논란거리지 해축보는사람들한테는 당연한결과임,15,22,2
11,8,논Eu 랑 이적자금등 이미 현재로 어려운건 알던건데 관심받는게 대단한거지 레알이던 어디던 이적 적기가 되가는건 객관적인 사실이니 전성기 들어가는 시점이니 우승할팀으로 도전하고 도약하길,14,3,1
12,60,본인은 아니라는데 기사로 이적보냈다가 이적불가라니!!뭐냐~~ㅎ,14,5,0
13,60,한국 선수에게 이런 얘기가 나오는 것만으로도 엄청난 일이다.. 비아냥 거리는 애들 이해가 안되네,12,9,2
14,54,레알이 미쳤냐 느그흥을 사게? 손뽕은 정말 역겹다,7,10,1
15,13,REAL Madrid No.7 Sonaldo. 내년에는 볼 수 있을듯,6,2,0
16,60,손흥민 토트넘에서도 잘하는데 레알 마드리드 안 가면 뭐 어때서,5,5,2
17,60,솔직히 안가도되잖아? 지금 토트넘에서 중요한선수고 만약 이적을 하더라도 충분히 좋은 클럽으로도 갈수있는데 굳이 레알안가도됨 뭐 손까들은 응 못가 이러겠지만 ㄷㅅ들이 니들은 손흥민 인생에 1억분에 1이라도 따라 해볼수나 있겠냐 ..??,5,5,2
18,60,이게 맞지 ㅋㅋㅋㅋㅋㅋㅋㅋ설렜냐 손뽕들아 ㅋㅋㅋㅋ 포체티노 DESK 다 빅클럽가고 흥민이 혼자 토트넘 남을듯,5,14,2
19,60,"페레즈 "" 손흥민살바에 일본유망주 쿠보영입 ㅋ """,4,7,0
20,19,믿고 거르는 한준 기사,4,0,0
21,30,다들 못갈거 예상했지만 ..그래도 위상이 높아져서 기분좋다 ~,4,0,0
22,31,굳이 레알안가도 epl에서성공한것만봐도기쁘다,4,0,0
23,60,하여간 진짜 손뽕들 정신나갔다니깐?,4,14,0
24,32,이적설 뜬거에 의미를 둬야하는데 자꾸 기자들이 설레발 침,3,0,0
25,34,손 응원한다만 빠심빼도 레알에 연결되는게이상한일 같지않다 흥민이가 많이큰거지,3,0,0
26,58,손뽕들 머가리 터질때까지 짓밟아버리고싶다 살아있을 가치가 없는 쓰레기만도 못한 손뽕들!,3,7,0
27,60,한준 어느새 김민재관련해서 사과도 안하고 기어나오셨네 ㅋㅋㅋㅋㅋ,3,1,0
28,60,누가 간다고했나요 에구 설에 불과한것를 소니 이름만 괜시리 오르내렸네,3,2,0
29,60,누가 간다캤나.??? 기사도 제대로 알고 써라 그게 기자의 기본이다,3,1,1
30,8,손뽕들 쿨한척 오지누 ㅋㅋ,2,3,8
31,10,그래도 명문구단에서 우리나라 선수 이름이 거론되는게 자랑스럽다,2,2,0
32,12,미쳤다고 비유럽 자리 하나를 손쩌리 따위에 쓰겠냐 ㅋㅋㅋ,2,2,1
33,12,기자양반 흥민이는 갈생각 없다고,2,2,0
34,13,선수 본인이 인터뷰 했는데 뭐.....,2,0,0
35,14,지단이 흥민이랑 같이 밥먹었다 곧 이적한다 ㅅㄱ,2,2,0
36,14,"선수가 직접 아니라고 이미 확실히 말했구만 끈질기다. 레알 마드리드 내부 사정을 잘 아는 스페인 현지 관계자도, 또 다른 스페인 축구계 관계자도, 이적 시장 관계자에 따르면...... 애쓴다",2,0,0
37,14,손흥민은 딱 설기현-이천수 레벨,2,5,0
38,18,손뽕들 진지빨고 신나서 난리치더만 찌라시인거 알고있지요 이러면서 쿨한척 쌉극혐이네,2,4,0
39,60,손흥민은 닭집주전에 만족해라 이게 최대치다,2,4,0
40,60,내년에 정말 가는줄 알던데 손뽕들 개막경기 못뛰는거 라리가 간다고 ㅋㅋㅋ 정말 가면 어쩔거냐고 입털지말라고 ㅋㅋㅋ 니들 빼고 다 알던거,2,4,0
41,60,그분들만 기대했죠?ㅋㅋ,2,3,0
42,60,손흥민을 빼고 공격진 구상했다고? 이러니 내년에도 레알이 무관따리하지,2,5,0
43,60,박재호는 사회악이다,2,0,0
44,60,아는 사실을 기자들이 계속퍼나르니 혹시나하고 기대하는 사람들이 생기지,2,1,0
45,60,아자르를 영입했는데 굳이 손흥민을 영입하겠어?ㅋㅋㅋㅋㅋ,2,5,1
46,5,가고싶다고도 한적없고 팀에서 보낸단말도없었는대 지넨맘대러 노린다했다가 이젠 안된다는 표현을쓰네 ㅋㅋㅋㅋ,1,1,0
47,9,왠일로 기사제목에 속보라고안쓴거냐?ㅋㅋㅋㅋ,1,0,0
48,16,손뽕들 이제와서 정신승리하는거 실화냐 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1,4,2
49,17,음바페 네이마르 정도 되야 레알 닥주다. 살라 마네 사네 스털링도 레알에서 부르지 않는데 그 보다 낮은 손을 부른다고? 처음부터 말도 안되지.,1,3,0
50,20,아무리 진짜 처럼 포장해도 나는 안믿지만 멍1충 손뽕들은 뻔한 찌라시마저두 믿더라.다들 겨울 이적시장때 이적할거라 믿지.겨울 아니면 다음해 또 아니면 그 다음해,1,3,0
51,20,"레알 마드리드 내부 사정을 잘 아는 스페인 현지 관계자도 ""손흥민에 대해선 부인했다. 아무런 움직임이 없다""고 밝혔다. 이런데도 자꾸 손뽕들은 커넥션이 있대 정신병인가 ㅋ",1,3,0
52,26,자랑스럽당,1,0,0
53,30,아니 애초에 비유럽쿼터 때문에 아시아인이 레알 가는거 자체가 어려움,1,2,0
54,34,언젠간 가게될거양,1,0,0
55,35,아무도 안믿는다면서 찌라시나온다는게 대단하다고?? 그 찌라시조차 뇌내망상수준인데 그게 대단하다라 크흠...국뽕은 역시,1,2,0
56,37,안가지 거길 쏘니가 왜가,1,1,0
57,54,쪽팔려 죽것네 어디서 기자나부랭이들이 찌라시 주워와서 한국사람들을 짱개를 만드네,1,2,0
58,60,이게 팩트지,1,0,0
59,60,이제는 래알보다 토트넘이 강팀이야 손흥민 래알에 관심없다ㅋㅋ쓰래기팀 누가 가냐ㅋ,1,4,0
60,60,이 당연한 걸 가지고 기레기+국뽕 합작으로 ㅋㅋㅋㅌ아주 그냥,1,2,0
61,60,솔직히 손흥민 레알보다 꼬마가더잘어울린다,1,5,0
62,60,애초에 이적설이 나온곳이 사디오 마네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1,4,0
63,0,솔직히 토트넘떠났으면 좋을듯한데,0,0,0
64,0,그냥 국뽕 찌라시 망상이지 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 월클도 아닌 선수가 무슨,0,0,0
65,0,일단 베일 한시즌만더 지켜보고 내년여름에 음바페 영입실패하면 데려올듯,0,0,0
66,1,지들끼리 루머 퍼뜨리고 끝내노 ㅋㅋ,0,0,0
67,1,근데 레알 어쩌다 일케됐나 무게감이 전혀 없네 ㅋㅋㅋ,0,0,0
68,1,베일이 안나가고 있으니....똥차가 빠져야 들어가지...,0,0,0
69,1,기자 혼자 진지했노;;;;; 은근히 손흥민 까내리노 ㅋㅋ,0,0,0
70,1,푸하하하 손뽕들 푸하하하하,0,0,0
71,2,ㄴㄱㅎ,0,0,0
72,2,제발 영국에 있어야 한다.. 라리가 토요일은 새벽 3시에 한다...,0,0,0
73,2,아무도 갈거라고 생각 안 해서 뭔가 너무 당연한걸 기사로 써놓은 느낌ㅋㅋㅋㅋ,0,0,0
74,2,거론된 것만도 좋았다.,0,0,0
75,3,"안가는게 아니고 못 가는거야, 레알이 오퍼도 전혀 안 넣었는데 어떻게 손흥민이 레알을 가냐고 ㅋㅋㅋㅋㅋ",0,0,0
76,3,뮌헨가자~~,0,0,0
77,3,국뽕들 취한거 숙취나 해라ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0,0,0
78,4,내가 볼때 아자르는 레알에 안어울린다 신장이나 발재간 패스 스타일 보면 바르셀로나에 더 잘 어울린다고 생각한다 네이마르 역할이 아자르와 비슷하고 유니폼 또한 바르셀로나에 적합하다 솔직히 아자르는 레알의 측면 공격수로 부족하다 특히 호날도 같은 프리킥이나 중거리슛이 약하다 땅꼬마에 발재간은 바르셀로나지 레알은 아니다,0,1,0
79,4,한준 ㅋ,0,0,0
80,4,그래 안간다안가,0,0,0
81,4,상황이 안되서 그렇지 계속 이적설 뜨는건 흥민이 위상을 보여주는거지,0,0,0
82,5,우리 흥민이도 아쉬울거 없다~~~야구와 달리 축구선수들 인성이 개싸가지들 많던데~~레알?잘할지는 두고볼일아닌가?우리 흥민이 인성갑인거 모르는 사람없고 축구에서도 아마 중요한 요소로 작용할 날 머지 않았슴~~,0,0,0
83,5,저래놓고 오피셜 다시 뜰듯!!!,0,1,0
84,5,찌라시에 손뽕들만 괜히 난리지 .,0,1,0
85,6,에이 가는줄알았네...ㅋㅋ,0,0,0
86,6,레알????,0,1,0
87,9,그럼 뭐 진짜로 들어가는줄 알았냐ㅋㅋㅋ,0,2,0
88,9,바르샤로 가자 !!! 수아레스.폼 떨어졌으니 가서 주전 꿰차자... 가기만하면 메시가 슈퍼스타로 만들어준다 !!!,0,0,0
89,12,핵심은 공격진 구성이 아니라 논eu 쿼터임. 이번 영입으로 3자리를 다 채워버려서 사실상 손흥민 자리가 없음.,0,0,0
90,12,난데없이 호주 시골에 두 유 노 독도? 광고물 게시한 거나 같지.. 기랙들이 조회수 늘리려 루머를 조작.기사작성.. 그걸 본 다른 기랙이 이걸 다시 보도.. 담 기랙은 그걸 또 보도.. 이라믄서..,0,0,0
91,14,아니 애초에 레알은 손흥민 원한다고 한적도 없는데 마네피셜이랑 나폴리피셜로 이렇게 우려먹냐ㅋㅋㅋㅋㅋ 레알은 커녕 스페인 언론 영국 언론도 기사 하나도없던데,0,3,0
92,15,손흥민한테는 오퍼 1도 안들어오네ㅋㅋ닭집에 평생 썩을듯. 케인 엉덩이 닦아주다 선수생활 끝날듯.,0,4,0
93,16,레알마드리드: 아 안사요 안사,0,1,0
94,18,그렇다면??????? 황유다ㄱㄱㄱㄱㄱㄱ,0,2,0
95,20,레알 내년시즌도 죽쒀라 ㅋㅋ,0,0,0
96,23,그래도 기자가 고맙네 계속 기사 내줘서 ㅋㅋㅋㅋㅋㅋ,0,3,0
97,24,"레알은 안갔음 싶었다. 비유럽인 쿼터부터 걸리고, 리그가 재미가 없으~. 토트넘에서 우승 커리어 챙길 가능성은 없다지만, 그냥 주구장창 토트넘에서 뛰다가 원팀 레전드로 남는것도 좋잖우? 뭐 어디든 이적한다면야 그 경기 꼬박꼬박 챙겨보겠지만서도~",0,1,0
98,25,가겠습니까,0,0,0
99,26,레알 입성한 쿠보의 위상이 손흥민보다 높다는거네.. 다른건 몰라도 이건 좀 부럽다 일본,0,2,0
100,29,애초부터 영입할 맘 없었다,0,2,0
101,29,손뽕들 태세전환보소 ㅋㅋㅋ 레알 갈거처럼 얘기하다가 이제와서 이적설 나올만큼 성장한게 중요하다 ㅇㅈㄹ ㅋㅋㅋ,0,3,0
102,30,당연한 결과,0,1,0
103,32,손흥민도 못간 레알을 쿠보가 갔습니다..,0,1,0
104,33,기자들이 찌라시 들고 와서 조회수 올릴려고 퍼온 기사를 손뽕들은 지들끼리 레알 이적설이네 뭐네 ㅇㅈㄹ ㅋㅋㅋㅋㅋㅋ 진짜 정신병,0,2,0
105,33,레알 가는 거 지금 절대 좋은 거 아니다. 상대는 아센시오다,0,0,0
106,37,레알에서 오퍼할거라 당연히생각 안했고 레알이 영입하기에는 클래스가 부족한건 사실 근데 안가는게 낫긴하지 아자르랑 포지션경쟁해야되는데,0,1,0
107,37,리버풀 가즈아,0,0,0
108,39,쿠보는 레알 갔는데 ㅋ,0,2,0
109,41,쿠보도 가는데 왜 못가 ㅋㅋ,0,1,0
110,44,손뽕들이 괜히설레발치는바람에그냥,0,2,0
111,45,불가능은없다 내생각엔 레알이 아자르 토트넘으로 보내려고 큰그림그린거일수도있다 아자르정도면 레비도 스왑딜 수락할듯,0,1,0
112,45,손흥민도 전부터 그냥 헛소문이라고 했었는데뭐,0,0,0
113,46,쿠보도 갔는데...ㅠ 아직 한국은 멀었구나..,0,1,1
114,52,"마리아노 디아즈,브라힘 디아즈,이스코,아센시오,루카스 바스케스,벤제마,아자르,요비치>>>느그흥",0,0,0
115,53,소농민 레알 이적확정이다 기다려라,0,2,0
116,55,토트넘도 괜찮아 너가 있는 곳이 강팀이다,0,0,0
117,58,.,0,0,0
118,58,지단오니깐 리빌딩개빠르네 맨유한명영입할때레알은몇명영입한거야ㅋ 이제포그바나에릭센남앗네 음바페는내년에올거같고자유계약으로,0,0,0
119,60,손뽕들 마네피셜 이탈리아피셜로 뽕빨다 스페인 현지에서 이적설 없다고 기사 나왔는데도 이적설만으로 가치 있다고 애써 자위질 ㅋㅋㅋㅋ 웃긴건 그 이적설 조차 마네가 헛소리한걸 그냥 지들끼리 뽕빨면서 확대해석한 실체없는 허상 이라는거,0,2,0
120,60,당연한걸 뭐 기사씩이나 ㅋㅋㅋㅋ 국뽕들 몰려오겠네 우르르,0,2,0
121,60,레알가면 용의꼬리 토트넘에 남으면 뱀의머리,0,0,0
122,60,아직까진 아자르말고 뭐없네.. 축알척한답시고 요비치가 어쩌네 하지들마라. 레알은 빅네임이필요한 구단이다,0,0,0
123,60,기자끼리 주고받고 ㅋㅋ,0,0,0
124,60,돌아오는 시즌에서 잘해주면 내년에는 어디든 러브콜 들어올듯.,0,0,0
125,60,흥민이는 돌문 토트넘 atm 나폴리급임 5대리그탑팀간다면 맹구 psg 뮌헨정도겠네 유벤 맨시 바르샤 레알급은아니다,0,0,0
126,60,다음시즌때 더 확실한 존재감을 보여줘라,0,0,0
127,60,솔직히 포지션은 다를지몰라도 호드리고 밀리탕 멘디 지금당장 주전경쟁도 힘들수있는 이런 애들보다는 손흥민이낫지...,0,0,0
128,60,솔직히 토트넘 에서 주전뛰는게ㅈ더낮다 가는것보다,0,0,0
129,60,이미 잘 알고 있었음!!! 가짜 헛뉴스...특히 스포츠관련기사중 89~90%는 근거없는 뉴스....,0,1,0
130,60,못가는거 손뽕 빼고 다 아는거 망상병 환자들 ㅋㅋ,0,2,0
131,60,안되는건 안된다 ㅋㅋ,0,1,0
132,60,흥민마 챔스 결승 도전할 팀으로 가라 뮌헨 리버풀 딱 이 두곳만 보자,0,0,0
133,60,그냥 뮌헨가자,0,2,0
134,60,흥민이는 클롭한테 가야한다 진짜 리버풀에서 더 잘할거다,0,0,0
135,60,레알로 갈 거시기는 안되지 사실...걍 이적설자체만으로 기분좋은 일인게지,0,1,0
136,60,애초에 아자르 영입했는데 손흥민도 영입한다는 것 자체가 모순,0,0,0
137,60,너무비싸서 토트넘탈출은 지금보다 더 잘하는거외에 없을듯,0,0,0
138,60,"레알이 손흥민 영입을 위해 움직인 적도, 이적건으로 대화한 적도 없다는데 이 기사에서도 손뽕들은 여전히 레알이 손흥민을 주시중 ㅇㅈㄹ ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 아니 그 돈이면 마네,음바페,베실바,네이마르 노린다구요 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ",0,2,0
139,60,"내가 손흥민 레알 이적설 기사 다 봤는데 ㅋㅋ 손흥민 레알 이적 가능성 기사에는 ""충분히 갈 수 있다""라고 긍정적으로 반응하고 불가 기사 뜨면 ""아니 본인은 아니라는데 왜 이런 기사 쓰냐""고 발광함ㅋㅋㅋ",0,2,0
140,60,손뽕들 뽕에 취해서 아니라고 말해도 귀막고 우기더니 이제 눈으로 보여주니 인정하자 손뽕들아,0,3,0
141,60,누구나 그럴듯한 상상은 한다. 팩트를 쳐맞기 전에는 ㅋㅋㅋ,0,2,0
142,60,미쳤다고 레알이 영입할라겠냐ㅋㅋㅋ,0,2,0
143,60,솔직히 손흥민이 레알에 들어갈 자리가 있냐??,0,1,1
144,60,우리 흥민이면 중미도 가능한데.. 패싱력이 일품인디,0,2,0
145,60,ㅋㅋㅋㅋ 가끔 이렇게 충격요법으로 현실직시 시켜줘야된다니까 손뽕들은,0,5,0
